Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
Q00610	CLH1_HUMAN	reviewed	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034	Homo sapiens (Human)	1675			DISEASE: Mental retardation, autosomal dominant 56 (MRD56) [MIM:617854]: A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. {ECO:0000269|PubMed:26822784, ECO:0000269|PubMed:29100083}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 65;  /note=""P->N: Disrupts spindle localization."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 67;  /note=""S->G: Disrupts spindle localization."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 87;  /note=""T->A: Disrupts spindle localization."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 89;  /note=""Q->A: Disrupts spindle localization."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 96;  /note=""K->E: Disrupts spindle localization."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 98;  /note=""K->E: Disrupts spindle localization."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 444;  /note=""R->E: Disrupts spindle localization; when associated with E-445, E-500 E-506 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 445;  /note=""K->E: Disrupts spindle localization; when associated with E-444, E-500, E-506 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 480..484;  /note=""LRANV->ERGQC: Disrupts spindle localization and interaction with TACC3."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 481;  /note=""R->E: Disrupts spindle localization; when associated with E-487, E-500, E-506 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 487;  /note=""K->E: Disrupts spindle localization; when associated with E-481, E-500, E-506 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 500;  /note=""K->E: Disrupts spindle localization; when associated with E-444, E-445, E-506 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 500;  /note=""K->E: Disrupts spindle localization; when associated with E-481, E-487, E-506 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 506;  /note=""K->E: Disrupts spindle localization; when associated with E-444, E-445, E-500 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 506;  /note=""K->E: Disrupts spindle localization; when associated with E-481, E-487, E-500 and E-507."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 507;  /note=""K->E: Disrupts spindle localization; when associated with E-444, E-445, E-500 and E-506."";  /evidence=""ECO:0000269|PubMed:23918938""; MUTAGEN 507;  /note=""K->E: Disrupts spindle localization; when associated with E-481, E-487, E-500 and E-506."";  /evidence=""ECO:0000269|PubMed:23918938"""	Q00610;	9606.ENSP00000479606;	2XZG;4G55;6E4L;6QNN;6QNP;
B0VHH0	KCE_CLOAI	reviewed	3-keto-5-aminohexanoate cleavage enzyme (EC 2.3.1.247)	kce CLOAM0912	Cloacimonas acidaminovorans (strain Evry)	276					"MUTAGEN 82;  /note=""S->G: Reduced catalytic efficiency."";  /evidence=""ECO:0000269|PubMed:21632536""; MUTAGEN 143;  /note=""E->G,Q: Reduced catalytic efficiency."";  /evidence=""ECO:0000269|PubMed:21632536""; MUTAGEN 226;  /note=""R->G: Loss of catalytic activity."";  /evidence=""ECO:0000269|PubMed:21632536""; MUTAGEN 231;  /note=""D->G: Loss of catalytic activity."";  /evidence=""ECO:0000269|PubMed:21632536"""		459349.CLOAM0912;	2Y7D;2Y7E;2Y7F;2Y7G;
Q89IH6	Q89IH6_BRADU	unreviewed	Blr5658 protein	blr5658	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	163							224911.27353934;	2Y32;4BBO;
B8ZY56	B8ZY56_GIBZA	unreviewed	Exo-1,5-alpha-L-arabinofuranobiosidase (EC 3.2.1.55) (Fragment)	arb93a	Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)	365								2YDP;2YDT;5M1Z;
P77774	BAMB_ECOLI	reviewed	Outer membrane protein assembly factor BamB	bamB yfgL b2512 JW2496	Escherichia coli (strain K12)	392						P77774;	511145.b2512;	2YH3;2YMS;3P1L;3PRW;3Q7M;3Q7N;3Q7O;4PK1;4XGA;5AYW;5D0O;5LJO;6LYQ;6LYR;6LYS;6LYU;6SN9;6SOB;6SOJ;6V05;7BNQ;7NBX;7NCS;7ND0;7NRI;
P0AC02	BAMD_ECOLI	reviewed	Outer membrane protein assembly factor BamD	bamD yfiO b2595 JW2577	Escherichia coli (strain K12)	245				DISRUPTION PHENOTYPE: Depletion decreases the density of outer membrane proteins, but does not significantly affect transport of lipopolysaccharides to the outer membrane. {ECO:0000269|PubMed:16824102}.		P0AC02;	511145.b2595;	2YHC;3Q5M;3TGO;5AYW;5D0O;5D0Q;5EKQ;5LJO;6LYQ;6LYR;6LYS;6LYU;6SN9;6SOB;6SOJ;6V05;7BNQ;7NBX;7NCS;7ND0;7NRI;
B2J0I0	B2J0I0_NOSP7	unreviewed	WD-40 repeat protein	Npun_R6612	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	1229							63737.Npun_R6612;	2YMU;6R5X;6R5Y;6R5Z;6R60;
Q8ZKG6	Q8ZKG6_SALTY	unreviewed	Putative inner membrane protein	STM4261	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	5559								2YN3;2YN5;
Q09028	RBBP4_HUMAN	reviewed	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48)	RBBP4 RBAP48	Homo sapiens (Human)	425						Q09028;	9606.ENSP00000362592;	2XU7;3GFC;4PBY;4PBZ;4PC0;4R7A;5FXY;5VTB;5WAI;5WAK;5XWR;5XXQ;5Y1U;6BW3;6BW4;6C23;6C24;6G16;6NQ3;6WKR;6ZRC;6ZRD;7AOA;7KSO;7KSR;7KTP;7M40;
A4IKE6	A4IKE6_GEOTN	unreviewed	Uncharacterized protein	GTNG_0418	Geobacillus thermodenitrificans (strain NG80-2)	428							420246.GTNG_0418;	2YNQ;4ANO;
P41811	COPB2_YEAST	reviewed	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP)	SEC27 YGL137W G2827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	889						P41811;	4932.YGL137W;	2YNN;2YNO;2YNP;4J73;4J77;4J78;4J79;4J81;4J82;4J84;4J86;
Q9H2K2	TNKS2_HUMAN	reviewed	Poly [ADP-ribose] polymerase tankyrase-2 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Poly [ADP-ribose] polymerase 5B) (Protein poly-ADP-ribosyltransferase tankyrase-2) (EC 2.4.2.-) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-2) (TANK2) (Tankyrase-like protein) (Tankyrase-related protein)	TNKS2 PARP5B TANK2 TNKL	Homo sapiens (Human)	1166					"MUTAGEN 553;  /note=""H->D: Enhanced hydroxylation by HIF1AN."";  /evidence=""ECO:0000269|PubMed:21251231""; MUTAGEN 553;  /note=""H->N: Enhanced hydroxylation by HIF1AN."";  /evidence=""ECO:0000269|PubMed:21251231""; MUTAGEN 1054;  /note=""M->V: Loss of activity."";  /evidence=""ECO:0000269|PubMed:19759537"""	Q9H2K2;	9606.ENSP00000360689;	2Y0I;3KR7;3KR8;3MHJ;3MHK;3P0N;3P0P;3P0Q;3TWQ;3TWR;3TWS;3TWT;3TWU;3TWV;3TWW;3TWX;3U9H;3U9Y;3UA9;3W51;4AVU;4AVW;4BFP;4BJ9;4BJB;4BJC;4BS4;4BU3;4BU5;4BU6;4BU7;4BU8;4BU9;4BUA;4BUD;4BUE;4BUF;4BUI;4BUS;4BUT;4BUU;4BUV;4BUW;4BUX;4BUY;4HKI;4HKK;4HKN;4HL5;4HLF;4HLG;4HLH;4HLK;4HLM;4HMH;4HYF;4IUE;4J1Z;4J21;4J22;4J3L;4J3M;4KZL;4KZQ;4KZU;4L09;4L0B;4L0I;4L0S;4L0T;4L0V;4L10;4L2F;4L2G;4L2K;4L31;4L32;4L33;4L34;4M7B;4PML;4PNL;4PNM;4PNN;4PNQ;4PNR;4PNS;4PNT;4TJU;4TJW;4TJY;4TK0;4TK5;4TKF;4TKG;4TKI;4UFU;4UFY;4UHG;4UI3;4UI4;4UI5;4UI6;4UI7;4UI8;4UVL;4UVN;4UVO;4UVP;4UVS;4UVT;4UVU;4UVV;4UVW;4UVX;4UVY;4UVZ;4UX4;4W5I;4Z68;5ADQ;5ADR;5ADS;5ADT;5AEH;5AKU;5AKW;5AL1;5AL2;5AL3;5AL4;5AL5;5BXO;5BXU;5C5P;5C5Q;5C5R;5DCZ;5FPF;5FPG;5JRT;5NOB;5NSP;5NUT;5OWS;5OWT;6TG4;6TKM;6TKN;6TKP;6TKQ;6TKR;6TKS;
Q5KY94	AROD_GEOKA	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD GK2057	Geobacillus kaustophilus (strain HTA426)	257							235909.GK2057;	2YR1;
O67315	MURA_AQUAE	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA aq_1281	Aquifex aeolicus (strain VF5)	425							224324.aq_1281;	2YVW;3SWG;
Q53W90	Q53W90_THET8	unreviewed	2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14)	TTHB072	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	207								2YW3;2YW4;
Q57695	DAPA_METJA	reviewed	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA MJ0244	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	289							243232.MJ_0244;	2YXG;
Q3ZD73	Q3ZD73_XANCA	unreviewed	Hax2	hax2	Xanthomonas campestris pv. armoraciae	1321								2YPF;
Q71VM4	IMA1A_ORYSJ	reviewed	Importin subunit alpha-1a	Os01g0253300 LOC_Os01g14950	Oryza sativa subsp. japonica (Rice)	526						Q71VM4;	4530.OS01T0253300-01;	2YNS;4B8J;4B8O;4B8P;4BPL;4BQK;
Q9QUK6	TLR4_MOUSE	reviewed	Toll-like receptor 4 (EC 3.2.2.6) (CD antigen CD284)	Tlr4 Lps	Mus musculus (Mouse)	835			DISEASE: Note=The protein is encoded by the Lps locus, an important susceptibility locus, influencing the propensity to develop a disseminated Gram-negative infection. {ECO:0000269|PubMed:9851930, ECO:0000269|PubMed:9989976}.	DISRUPTION PHENOTYPE: Animals with a double knockout of APOE and TLR4, fed a Western diet for 12 weeks, have less aortic plaque formation than single APOE knockout mice. They also show lower serum concentrations of IL1A, ILB and IL18. {ECO:0000269|PubMed:23812099}.		Q9QUK6;	10090.ENSMUSP00000045770;	2Z64;3VQ1;3VQ2;5IJB;5IJC;5IJD;
P41783	PRGH_SALTY	reviewed	Protein PrgH	prgH STM2874	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	392						P41783;		2Y9J;3GR0;3GR1;3J1W;3J1X;3J6D;4G1I;4G2S;5TCP;5TCR;6DUZ;6PEM;6PEP;6Q14;6Q15;6Q16;6UOT;6UOV;7AH9;7AHI;
O00206	TLR4_HUMAN	reviewed	Toll-like receptor 4 (EC 3.2.2.6) (hToll) (CD antigen CD284)	TLR4	Homo sapiens (Human)	839					"MUTAGEN 431;  /note=""H->A: Partially diminishes NF-kappa-B activation induced by Ni(2+). Strongly reduces NF-kappa-B activation induced by Ni(2+); when associated with A-456 or A-458."";  /evidence=""ECO:0000269|PubMed:20711192""; MUTAGEN 456;  /note=""H->A: Partially diminishes NF-kappa-B activation induced by Ni(2+). Strongly reduces NF-kappa-B activation induced by Ni(2+); when associated with A-431. Suppresses NF-kappa-B activation induced by Ni(2+); when associated with A-458."";  /evidence=""ECO:0000269|PubMed:20711192""; MUTAGEN 458;  /note=""H->A: Partially diminishes NF-kappa-B activation induced by Ni(2+). Strongly reduces NF-kappa-B activation induced by Ni(2+); when associated with A-431. Suppresses NF-kappa-B activation induced by Ni(2+); when associated with A-456."";  /evidence=""ECO:0000269|PubMed:20711192""; MUTAGEN 526;  /note=""N->A: Abolishes LPS-response and prevents the cell surface expression."";  /evidence=""ECO:0000269|PubMed:11706042""; MUTAGEN 575;  /note=""N->A: Abolishes LPS-response and prevents the cell surface expression."";  /evidence=""ECO:0000269|PubMed:11706042""; MUTAGEN 697;  /note=""E->R: Abolishes LPS-response."";  /evidence=""ECO:0000269|PubMed:11081518""; MUTAGEN 710;  /note=""R->E: Abolishes LPS-response."";  /evidence=""ECO:0000269|PubMed:11081518""; MUTAGEN 711;  /note=""D->K: Abolishes LPS-response."";  /evidence=""ECO:0000269|PubMed:11081518""; MUTAGEN 714;  /note=""P->H,R,E: Abolishes MYD88-binding and LPS-response."";  /evidence=""ECO:0000269|PubMed:11081518"""	O00206;	9606.ENSP00000363089;	2Z62;2Z63;2Z65;2Z66;3FXI;3UL7;3UL8;3UL9;3ULA;4G8A;5NAM;5NAO;
F1QGH7	CTNB1_DANRE	reviewed	Catenin beta-1 (Beta-catenin)	ctnnb1	Danio rerio (Zebrafish) (Brachydanio rerio)	780							7955.ENSDARP00000032935;	2Z6G;
Q9QUN7	TLR2_MOUSE	reviewed	Toll-like receptor 2 (EC 3.2.2.6) (CD antigen CD282)	Tlr2	Mus musculus (Mouse)	784				DISRUPTION PHENOTYPE: Mutants succumb to Staphylococcus aureus infection within 5 days. {ECO:0000269|PubMed:15690042}.	"MUTAGEN 681;  /note=""P->H: Abolishes MYD88-binding and response to microbial cell wall components."";  /evidence=""ECO:0000269|PubMed:10548109"""	Q9QUN7;	10090.ENSMUSP00000029623;	2Z81;2Z82;3A79;3A7B;3A7C;5D3I;
P17978	VGB_STAAU	reviewed	Virginiamycin B lyase (EC 4.2.99.-) (Streptogramin B lyase)	vgb vgh	Staphylococcus aureus	299					"MUTAGEN 18;  /note=""Y->F: 600-fold decrease in catalytic efficiency."";  /evidence=""ECO:0000269|PubMed:17563376""; MUTAGEN 228;  /note=""H->A: Loss of activity."";  /evidence=""ECO:0000269|PubMed:17563376""; MUTAGEN 268;  /note=""E->Q: 56-fold decrease in catalytic efficiency."";  /evidence=""ECO:0000269|PubMed:17563376""; MUTAGEN 270;  /note=""H->A: Loss of activity."";  /evidence=""ECO:0000269|PubMed:17563376""; MUTAGEN 284;  /note=""E->Q: 137-fold decrease in catalytic efficiency."";  /evidence=""ECO:0000269|PubMed:17563376"""			2Z2N;2Z2O;2Z2P;
Q5L0U0	PYRF_GEOKA	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF GK1155	Geobacillus kaustophilus (strain HTA426)	244							235909.GK1155;	2YYT;2YYU;
O31526	YESW_BACSU	reviewed	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)	yesW BSU07050	Bacillus subtilis (strain 168)	620					"MUTAGEN 363;  /note=""H->A: Strongly reduced catalytic activity."";  /evidence=""ECO:0000269|PubMed:17947240""; MUTAGEN 399;  /note=""H->A: Strongly reduced catalytic activity."";  /evidence=""ECO:0000269|PubMed:17947240""; MUTAGEN 401;  /note=""D->N: Strongly reduced catalytic activity."";  /evidence=""ECO:0000269|PubMed:17947240""; MUTAGEN 422;  /note=""E->Q: Loss of activity."";  /evidence=""ECO:0000269|PubMed:17947240""; MUTAGEN 452;  /note=""R->A: Strongly reduced catalytic activity and reduced affinity for substrate."";  /evidence=""ECO:0000269|PubMed:17947240""; MUTAGEN 535;  /note=""K->A: Strongly reduced catalytic activity and reduced affinity for substrate."";  /evidence=""ECO:0000269|PubMed:17947240""; MUTAGEN 595;  /note=""Y->F: Strongly reduced catalytic activity."";  /evidence=""ECO:0000269|PubMed:17947240"""		224308.BSU07050;	2Z8R;2Z8S;2ZUX;
O87198	HOSA_THET2	reviewed	Homocitrate synthase (HCS) (EC 2.3.3.14)	lys20 TT_C1550	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	376				DISRUPTION PHENOTYPE: Cells lacking this gene show lysine auxotrophy, which can be complemented with alpha-aminoadipate but not with diaminopimelate. {ECO:0000269|PubMed:9868782}.	"MUTAGEN 72;  /note=""H->L: Significant decrease in sensitivity to lysine inhibition. Large decrease in affinity for 2-oxoglutarate. Almost no effect on affinity for acetyl-CoA and on turnover number."";  /evidence=""ECO:0000269|PubMed:19996101"""		262724.TT_C1550;	2ZTJ;2ZTK;2ZYF;3A9I;
B9A0T7	B9A0T7_PLECO	unreviewed	Tamavidin2	tam2	Pleurotus cornucopiae (Cornucopia mushroom)	141								2ZSC;
O31666	MTNW_BACSU	reviewed	2,3-diketo-5-methylthiopentyl-1-phosphate enolase (DK-MTP-1-P enolase) (EC 5.3.2.5) (RuBisCO-like protein) (RLP)	mtnW ykrW BSU13590	Bacillus subtilis (strain 168)	405						O31666;	224308.BSU13590;	2ZVI;
Q5SJX8	Q5SJX8_THET8	unreviewed	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	menC TTHA0874	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	369							300852.55772256;	2ZC8;
Q9WXM1	AEEP_THEMA	reviewed	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)	TM_0006	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	345							243274.THEMA_04770;	2ZAD;3DEQ;3DER;3DES;3DFY;
Q08282	TYW4_YEAST	reviewed	tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	PPM2 TYW4 YOL141W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	695					"MUTAGEN 88;  /note=""R->A: Loss of function."";  /evidence=""ECO:0000269|PubMed:19287006"""	Q08282;	4932.YOL141W;	2ZW9;2ZWA;2ZZK;
Q764N8	Q764N8_GEOS1	unreviewed	Xyloglucanase		Geotrichum sp. (strain M128)	776								3A0F;
D0VWR2	PSBO_THEVL	reviewed	Photosystem II manganese-stabilizing polypeptide (MSP)	psbO	Thermosynechococcus vulcanus (Synechococcus vulcanus)	244						D0VWR2;		3A0B;3A0H;3WU2;4IL6;4UB6;4UB8;5B5E;5B66;5GTH;5GTI;5V2C;5WS5;5WS6;6JLJ;6JLK;6JLL;6JLM;6JLN;6JLO;6JLP;7CJI;7CJJ;7COU;7D1T;7D1U;
O60921	HUS1_HUMAN	reviewed	Checkpoint protein HUS1 (hHUS1)	HUS1	Homo sapiens (Human)	280						O60921;	9606.ENSP00000258774;	3A1J;3G65;3GGR;6J8Y;
Q7ZA77	Q7ZA77_PENCH	unreviewed	Exo-arabinanase	abnx	Penicillium chrysogenum (Penicillium notatum)	378								3A71;3A72;
P0A6N4	EFP_ECOLI	reviewed	Elongation factor P (EF-P)	efp b4147 JW4107	Escherichia coli (strain K12)	188				DISRUPTION PHENOTYPE: Disruption of this gene leads to lethality (PubMed:9405429) or to a very slow growth phenotype (PubMed:20729861). Required for the expression of poly-Pro-containing proteins. {ECO:0000269|PubMed:20729861, ECO:0000269|PubMed:23239623, ECO:0000269|PubMed:9405429}.	"MUTAGEN 31;  /note=""K->A: No lysylation."";  /evidence=""ECO:0000269|PubMed:20729861""; MUTAGEN 33;  /note=""G->K: No lysylation. Loss of in vivo EF-P function for cell growth."";  /evidence=""ECO:0000269|PubMed:20729861""; MUTAGEN 34;  /note=""K->A: No lysylation and loss of EF-P activity. No facilitation of translation of poly-Pro stretches."";  /evidence=""ECO:0000269|PubMed:20729861, ECO:0000269|PubMed:22128152, ECO:0000269|PubMed:23239623"""	P0A6N4;	511145.b4147;	3A5Z;6ENJ;6ENU;
P58546	MTPN_HUMAN	reviewed	Myotrophin (Protein V-1)	MTPN	Homo sapiens (Human)	118						P58546;	9606.ENSP00000376800;	3AAA;7DF7;7DSA;7DSB;
P0AEJ6	EUTB_ECOLI	reviewed	Ethanolamine ammonia-lyase large subunit (EAL large subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase alpha subunit) (Ethanolamine ammonia-lyase heavy chain) (Ethanolamine deaminase large subunit)	eutB b2441 JW2434	Escherichia coli (strain K12)	453						P0AEJ6;	511145.b2441;	3ABO;3ABQ;3ABR;3ABS;3ANY;3AO0;5YSN;5YSR;
O60671	RAD1_HUMAN	reviewed	Cell cycle checkpoint protein RAD1 (hRAD1) (EC 3.1.11.2) (DNA repair exonuclease rad1 homolog) (Rad1-like DNA damage checkpoint protein)	RAD1 REC1	Homo sapiens (Human)	282					"MUTAGEN 226..233;  /note=""SLLKPSTK->AAAAAAAA: Abolishes association of the 9-1-1 complex with RAD17."";  /evidence=""ECO:0000269|PubMed:10884395"""	O60671;	9606.ENSP00000371469;	3A1J;3G65;3GGR;6J8Y;
P53196	RPN14_YEAST	reviewed	26S proteasome regulatory subunit RPN14 (Proteasome non-ATPase subunit 14)	RPN14 YGL004C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417						P53196;	4932.YGL004C;	3ACP;3VL1;
O31097	PHYC_BACIU	reviewed	3-phytase (EC 3.1.3.8) (Myo-inositol-hexaphosphate 3-phosphohydrolase) (Phytate 3-phosphatase)	phyC phyB13	Bacillus subtilis	383								3AMR;3AMS;
O60844	ZG16_HUMAN	reviewed	Zymogen granule membrane protein 16 (Zymogen granule protein 16) (hZG16) (Secretory lectin ZG16)	ZG16	Homo sapiens (Human)	167						O60844;	9606.ENSP00000383563;	3APA;3VY6;3VY7;3VZE;3VZF;3VZG;7O3I;7O4P;7O88;
Q82L26	Q82L26_STRAW	unreviewed	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	agaA2 SAVERM_2186	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	658							227882.SAV_2186;	3A21;3A22;3A23;
P31340	SPIKE_BPP2	reviewed	Spike protein (Baseplate assembly protein gpV) (Gene V protein) (GpV)	V	Escherichia phage P2 (Bacteriophage P2)	211								3AQJ;3QR7;3QR8;
Q93DY9	MAMA_MAGGM	reviewed	Magnetosome protein MamA (MM24.3)	mamA MGMSRv2__2371 mgI495 MGR_4099	Magnetospirillum gryphiswaldense (strain DSM 6361 / JCM 21280 / NBRC 15271 / MSR-1)	217				DISRUPTION PHENOTYPE: Normal magnetic response, many fewer magnetosomes. MamC is mislocalized in punctate spots throughout the cell (PubMed:24816605). Deletion of approximately 80 kb of DNA, including this operon, leads to cells that are non-magnetic, lack internal membrane systems, grow poorly, have reduced mobility and take-up and accumulate iron poorly (PubMed:13129949). {ECO:0000269|PubMed:13129949, ECO:0000269|PubMed:24816605}.	"MUTAGEN 1..41;  /note=""Missing: No longer forms homooligomeric complexes."";  /evidence=""ECO:0000269|PubMed:21784982""; MUTAGEN 1..26;  /note=""Missing: Forms asymmetric and broken homooligomeric complexes."";  /evidence=""ECO:0000269|PubMed:21784982"""			3AS8;3ASF;
Q2W8Q0	MAMA_MAGSA	reviewed	Magnetosome protein MamA	mamA mms24 amb0971	Magnetospirillum magneticum (strain AMB-1 / ATCC 700264)	217				DISRUPTION PHENOTYPE: Takes up less Fe(3+) than wild-type cells, is less responsive to magnetic field, cells have 1-5 magnetosomes (compared to 8-14 in wild-type). Cells have chains of empty vesicles (PubMed:15004275). Magnetosomes are slightly further apart than in wild-type (PubMed:20439702). Deletion of genes mamH to mamV (amb0961 to amb0978) gives cells with no magnetosomes and no magnetic response (PubMed:20212111). {ECO:0000269|PubMed:15004275, ECO:0000269|PubMed:20212111, ECO:0000269|PubMed:20439702}.	"MUTAGEN 1..41;  /note=""Missing: No longer forms homooligomeric complexes, no longer associates with magnetosomes."";  /evidence=""ECO:0000269|PubMed:21784982""; MUTAGEN 1..26;  /note=""Missing: No longer associates with magnetosomes, protein is unstable."";  /evidence=""ECO:0000269|PubMed:21784982""; MUTAGEN 50;  /note=""R->E: Protein no longer associates with magnetosomes, no longer forms homooligomeric complexes, a crystal of 41-217 has a large rotation of the NTD."";  /evidence=""ECO:0000269|PubMed:21784982"""			3AS4;3AS5;3ASD;3ASG;3ASH;
